AGENCY_AREA,ANALYSIS_ID,TAXON_LIST_ITEM_KEY,UNITS_FOUND_OR_SEQUENCE_READS
ANGLIAN - CENTRAL,595708,NBNSYS0100043875,5
ANGLIAN - CENTRAL,595708,NBNSYS0100043878,1
ANGLIAN - CENTRAL,595708,NBNSYS0100044911,1
ANGLIAN - CENTRAL,595708,NBNSYS0100046734,3
ANGLIAN - CENTRAL,595708,NBNSYS0100046740,2
ANGLIAN - CENTRAL,595708,NBNSYS0100046917,1
ANGLIAN - CENTRAL,595708,NBNSYS0100048616,16
ANGLIAN - CENTRAL,595708,NBNSYS0100049239,47
ANGLIAN - CENTRAL,595708,NBNSYS0100049293,29
ANGLIAN - CENTRAL,595708,NBNSYS0100049331,8
ANGLIAN - CENTRAL,595708,NBNSYS0100049353,16
ANGLIAN - CENTRAL,595708,NBNSYS0100049402,2
ANGLIAN - CENTRAL,595708,NBNSYS0100049406,7
ANGLIAN - CENTRAL,595708,NBNSYS0100049459,1
ANGLIAN - CENTRAL,595708,NBNSYS0100049481,38
ANGLIAN - CENTRAL,595708,NBNSYS0100049526,1
ANGLIAN - CENTRAL,595708,NBNSYS0100049698,1
ANGLIAN - CENTRAL,595708,NBNSYS0100049705,1
ANGLIAN - CENTRAL,595708,NBNSYS0100049740,6
ANGLIAN - CENTRAL,595708,NBNSYS0100049794,3
ANGLIAN - CENTRAL,595708,NBNSYS0100049811,1
ANGLIAN - CENTRAL,595708,NBNSYS0100049828,3
ANGLIAN - CENTRAL,595708,NBNSYS0100049838,2
ANGLIAN - CENTRAL,595708,NBNSYS0100051130,7
ANGLIAN - CENTRAL,595708,NBNSYS0100051134,10
ANGLIAN - CENTRAL,595708,NHMSYS0000524017,6
ANGLIAN - CENTRAL,595708,NBNSYS0100051971,2
ANGLIAN - CENTRAL,595708,NBNSYS0100052065,1
ANGLIAN - CENTRAL,595708,NBNSYS0100053515,4
ANGLIAN - CENTRAL,595693,NBNSYS0100041609,18
ANGLIAN - CENTRAL,595693,NBNSYS0100041923,1
ANGLIAN - CENTRAL,595693,NBNSYS0100041935,10
ANGLIAN - CENTRAL,595693,NBNSYS0100041946,5
ANGLIAN - CENTRAL,595693,NBNSYS0100043875,10
ANGLIAN - CENTRAL,595693,NBNSYS0100044576,1
ANGLIAN - CENTRAL,595693,NBNSYS0100046740,5
ANGLIAN - CENTRAL,595693,NBNSYS0100049293,3
ANGLIAN - CENTRAL,595693,NBNSYS0100049354,89
ANGLIAN - CENTRAL,595693,NBNSYS0100049459,67
ANGLIAN - CENTRAL,595693,NBNSYS0100049705,18
ANGLIAN - CENTRAL,595693,NBNSYS0100049729,3
ANGLIAN - CENTRAL,595693,NBNSYS0100049777,9
ANGLIAN - CENTRAL,595693,NBNSYS0100049794,1
ANGLIAN - CENTRAL,595693,NBNSYS0100049811,5
ANGLIAN - CENTRAL,595693,NBNSYS0100049814,2
ANGLIAN - CENTRAL,595693,NBNSYS0100051130,31
ANGLIAN - CENTRAL,595693,NBNSYS0100051134,2
ANGLIAN - CENTRAL,595693,NHMSYS0000524017,14
ANGLIAN - CENTRAL,595693,NBNSYS0100051971,5
ANGLIAN - CENTRAL,595693,NBNSYS0100053515,1
ANGLIAN - CENTRAL,665720,NHMSYS0020475041,24
ANGLIAN - CENTRAL,665720,NBNSYS0100041935,7
ANGLIAN - CENTRAL,665720,NBNSYS0100043875,3
ANGLIAN - CENTRAL,665720,NBNSYS0100045227,2
